ResfamID	Resfam Family Name	Description	Antibiotic Classification (Resfam Only)	Mechanism Classification	Beta-Lactamase Ambler Class	Tetracycline Resistance (Resfam Only)
RF0050	Chloramphenicol_Acetyltransferase_CAT	chloramphenicol acetyltransferase (CAT)	Chloramphenicol Resistance	Acetyltransferase		
RF0051	Chloramphenicol_Efflux_Pump	chloramphenicol efflux pump	Chloramphenicol Resistance	Other Efflux		
RF0052	Chloramphenicol_Phosphotransferase_CPT	chloramphenicol phosphotransferase (CPT)	Chloramphenicol Resistance	Phosphotransferase		
RF0053	ClassA	Class A beta-lactamase	Beta-Lactamase	Beta-Lactamase	Class A	
RF0054	ClassB	Class B beta-lactamase	Beta-Lactamase	Beta-Lactamase	Class B	
RF0055	ClassC-AmpC	Class C beta-lactamases	Beta-Lactamase	Beta-Lactamase	Class C	
RF0056	ClassD	Class D beta-lactamases	Beta-Lactamase	Beta-Lactamase	Class D	
RF0057	CMY-LAT-MOX-ACT-MIR-FOX	"A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c)"	Beta-Lactamase	Beta-Lactamase	Class C	
RF0058	CPT	PF07931.7 Chloramphenicol phosphotransferase-like protein		Phosphotransferase		
RF0059	CTXM	CTX-M beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0060	Dala_Dala_lig_C	PF07478.8 D-ala D-ala ligase C-terminus		D-ala D-ala Ligase		
RF0061	Dala_Dala_lig_N	PF01820.16 D-ala D-ala ligase N-terminus		D-ala D-ala Ligase		
RF0062	DHA	DHA beta-lactamase (class c)	Beta-Lactamase	Beta-Lactamase	Class C	
RF0063	DHFR_1	PF00186.14 Dihydrofolate reductase		Antibiotic Target		
RF0064	DIM-GIM-SIM	"A grouping of the related DIM, GIM, and SIM beta-lactamases (subclass B1 (metallo-) beta-lactamases)"	Beta-Lactamase	Beta-Lactamase	Class B	
RF0065	emrB	emrB: subunit of efflux pump conferring antibiotic resistance	MFS Transporter	MFS Transporter		
RF0066	emrE	emrE: small multidrug resistance (SMR) antibiotic efflux pump	Other Efflux	Other Efflux		
RF0067	Erm23SRibosomalRNAMethyltransferase	Emr 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance	rRNA Methyltransferase	rRNA Methyltransferase		
RF0068	Erm38	Erm38: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance	rRNA Methyltransferase	rRNA Methyltransferase		
RF0069	ErmA	ErmA: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance	rRNA Methyltransferase	rRNA Methyltransferase		
RF0070	ErmB	ErmB: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance	rRNA Methyltransferase	rRNA Methyltransferase		
RF0071	ErmC	ErmC: Erm 23S ribosomal RNA methyltransferase: rRNA methyltransferase conferring antibiotic resistance	rRNA Methyltransferase	rRNA Methyltransferase		
RF0072	Exo	Exo beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0073	FAD_binding_2	PF00890.19 FAD binding domain		Antibiotic Inactivation		
RF0074	FluoroquinoloneResistantDNATopoisomerase	Fluoroquinolone Resistant DNA Topoisomerase	Quinolone Resistance	Quinolone Resistance		
RF0075	FmrO	PF07091.6 Ribosomal RNA methyltransferase (FmrO)		rRNA Methyltransferase		
RF0076	GES	GES beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0077	Glyoxalase	PF00903.20 Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily		Other		
RF0078	GOB	GOB beta-lactamase (subclass B3 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0079	HTH_AraC	"PF00165.18 Bacterial regulatory helix-turn-helix proteins, AraC family"		Gene Modulating Resistance		
RF0080	IMP	Plasmid mediated IMP-type carbapenemases (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0081	IND	IND beta-lactamases (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0082	KHM	KHM beta-lactamases (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0083	KPC	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0084	L1	L1 beta-lactamase (subclass B3 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0085	Lactamase_B	PF00753.22 Metallo-beta-lactamase superfamily		Beta-Lactamase	Class B	
RF0086	Lactamase_B_2	PF12706.2 Beta-lactamase superfamily domain		Beta-Lactamase	Class B	
RF0087	LRA	LRA beta-lactamase (subclass B3 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0088	macA	macA: subunit of efflux pump conferring antibiotic resistance	ABC Transporter	ABC Transporter		
RF0089	macB	macB: subunit of efflux pump conferring antibiotic resistance	ABC Transporter	ABC Transporter		
RF0090	MacrolideGlycosyltransfer	macrolide glycosyltransferase: macrolide inactivation enzyme	Other	Other		
RF0091	marA	marA: transcription factor induces MDR efflux pump AcrAB	Gene Modulating Resistance	Gene Modulating Resistance		
RF0092	MarR	PF01047.17 MarR family		Gene Modulating Resistance		
RF0093	MarR_2	PF12802.2 MarR family		Gene Modulating Resistance		
RF0094	mecR1	mecR1: gene modulating beta-lactam resistance	Gene Modulating Resistance	Gene Modulating Resistance		
RF0095	Methyltransf_18	PF12847.2 Methyltransferase domain		Methyltransferase		
RF0096	MexA	mexA: membrane fusion protein of the MexAB-OprM multidrug efflux complex	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0097	MexC	mexC: membrane fusion protein of the MexCD-OprJ multidrug efflux complex	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0098	MexE	mexE: membrane fusion protein of the MexEF-OprN multidrug efflux complex	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0099	MexH	mexH: membrane fusion protein of the efflux complex MexGHI-OpmD	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0100	MexW-MexI	A grouping of related mexW and mexI subunits of efflux pumps conferring antibiotic resistance	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0101	MexX	mexX:  subunit of efflux pump conferring antibiotic resistance	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0102	MFS_1	PF07690.11 Major Facilitator Superfamily		MFS Transporter		
RF0103	MFS_3	PF05977.8 Transmembrane secretion effector		MFS Transporter		
RF0104	MFSAntibioticEffluxPump	major facilitator superfamily (MFS) antibiotic efflux pump	MFS Transporter	MFS Transporter		
RF0105	MoxA	MoxA beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0106	mprF	mprF: peptide antibiotic resistance gene	Gene Modulating Resistance	Gene Modulating Resistance		
RF0107	msbA	msbA: ATP-binding cassette (ABC) antibiotic efflux pump	ABC Transporter	ABC Transporter		
RF0108	NDM-CcrA	A grouping of related NDM and CcrA beta-lactamases	Beta-Lactamase	Beta-Lactamase	Class B	
RF0109	norA	norA: major facilitator superfamily (MFS) antibiotic efflux pump	MFS Transporter	MFS Transporter		
RF0110	Nuc_H_symport	PF03825.11 Nucleoside H+ symporter		Other		
RF0111	PC1	PC1: blaZ beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0112	phoQ	phoQ: subunit of gene modulating antibiotic efflux	Gene Modulating Resistance	Gene Modulating Resistance		
RF0113	QuinoloneResistanceProteinQnr	quninolone resistance protein (Qnr): antibiotic target protection protein	Quinolone Resistance	Quinolone Resistance		
RF0114	ramA	ramA: gene modulating antibiotic efflux	Gene Modulating Resistance	Gene Modulating Resistance		
RF0115	RNDAntibioticEffluxPump	resistance-nodulation-cell division (RND) antibiotic efflux pump	RND Antibiotic Efflux	RND Antibiotic Efflux		
RF0116	robA	robA: transcriptional activator of AcrAB antibiotic efflux pump	Gene Modulating Resistance	Gene Modulating Resistance		
RF0117	romA	romA: trasncription factor mediating antibiotic resistance	Gene Modulating Resistance	Gene Modulating Resistance		
RF0118	Sfh	sfh beta-lactamases (subclass B2 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0119	SHV-LEN	A grouping of the related SHV and LEN beta-lactamases (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0120	SME	SME beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0121	soxR	soxR: mutant efflux regulatory protein conferring antibiotic resistance	Gene Modulating Resistance	Gene Modulating Resistance		
RF0122	SPM	Sao Paulo metallo-beta-lactamase (SPM-1) (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0123	SubclassB1	"Subclass B1 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems"	Beta-Lactamase	Beta-Lactamase	Class B	
RF0124	SubclassB2	Subclass B2 (metallo-) beta-lactamase selectively hydrolize carbapenems	Beta-Lactamase	Beta-Lactamase	Class B	
RF0125	SubclassB3	"Subclass B3 (metallo-) beta-lactamase hydrolize penicillins, cephalosporins and carbapenems"	Beta-Lactamase	Beta-Lactamase	Class B	
RF0126	TEM	TEM beta-lactamase (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0127	TetA	tetA: tetracycline resistance MFS efflux pump	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0128	TetA-B	tetA(B): tetracycline resistance MFS efflux pump	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0129	TetA-G	tetA(G): tetracycline resistance MFS efflux pump	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0130	TetD	tetD: tetracycline resistance MFS efflux pump	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0131	TetE	tetE: tetracycline resistance MFS efflux pump	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0132	TetH-TetJ	tetH and TetJ: tetracycline resistance MFS efflux pumps	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0133	TetM-TetW-TetO-TetS	"tetM, tetW, tetO, and tetS: tetracycline resistance ribosomal protection protein"	Tetracycline Ribosomal Protection	Target Protection		Tetracycline Ribosomal Protection
RF0134	Tetracycline_Resistance_MFS_Efflux_Pump	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0135	Tetracycline_Resistance_Ribosomal_Protection_Protein	tetracycline resistance ribosomal protection protein: protect RNA-polymerase from tetracycline inhibition	Tetracycline Ribosomal Protection	Target Protection		Tetracycline Ribosomal Protection
RF0136	TetX	tetX: tetracycline inactivation enzyme	Tetracycline Inactivation	Antibiotic Inactivation		Tetracycline Inactivation
RF0137	TetY	tetY: tetracycline resistance MFS efflux pump	Tetracycline MFS Efflux	MFS Transporter		Tetracycline MFS Efflux
RF0138	Tex_N	PF09371.5 Tex-like protein N-terminal domain		Gene Modulating Resistance		
RF0139	Thymidylat_synt	PF00303.14 Thymidylate synthase		Target Overexpression		
RF0140	Bcr_Cfla	"TIGR00710 efflux Bcr CflA: drug resistance transporter, Bcr/CflA subfamily"		MFS Transporter		
RF0141	EmrB	"TIGR00711 efflux EmrB: drug resistance MFS transporter, drug:H+ antiporter-2 (14 Spanner) (DHA2) family"		MFS Transporter		
RF0142	MATE_efflux	TIGR00797 matE: MATE efflux family protein		Other Efflux		
RF0143	drrA	"TIGR01188 drrA: daunorubicin resistance ABC transporter, ATP-binding protein"		ABC Transporter		
RF0144	DalaDala	TIGR01205 D ala D alaTIGR: D-alanine--D-alanine ligase		D-ala D-ala Ligase		
RF0145	SoxR	TIGR01950 SoxR: redox-sensitive transcriptional activator SoxR		Gene Modulating Resistance		
RF0146	ThymSym	TIGR03284 thym sym: thymidylate synthase		Target Overexpression		
RF0147	tolC	tolC: subunit of efflux pump conferring antibiotic resistance	ABC Transporter	ABC Transporter		
RF0148	Transpeptidase	PF00905.17 Penicillin binding protein transpeptidase domain		Antibiotic Target	Unclassified	
RF0149	vanA	VanA: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Lac	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0150	vanB	VanB: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Lac	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0151	vanC	VanC: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Ser	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0152	vanD	VanD: D-Ala-D-Ala ligase that can synthesize D-Ala-D-Lac	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0153	vanH	VanH: D-specific alpha-ketoacid dehydrogenase that synthesizes D-lactate	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0154	vanR	"VanR: transcriptional activator regulating VanA, VanH and VanX"	Gylcopeptide Resistance	Gene Modulating Resistance		
RF0155	vanS	VanS: trasncriptional regulator of van glycopeptide resistance genes	Gylcopeptide Resistance	Gene Modulating Resistance		
RF0156	vanT	"VanT: membrane bound serine racemase, converting L-serine to D-serine"	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0157	vanW	VanW: glycopeptide resistance gene	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0158	vanX	VanX: glycopeptide resistance gene	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0159	vanY	VanY: glycopeptide resistance gene	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0160	vanZ	VanZ: glycopeptide resistance gene	Gylcopeptide Resistance	Gylcopeptide Resistance		
RF0161	VEB-PER	VEB and PER beta-lactamases (class a)	Beta-Lactamase	Beta-Lactamase	Class A	
RF0162	VIM	Verone integron-encoded (VIM) metallo-beta-lactamase (subclass B1 (metallo-) beta-lactamase)	Beta-Lactamase	Beta-Lactamase	Class B	
RF0163	Whib	PF02467.11 Transcription factor WhiB		Gene Modulating Resistance		
RF0164	RND_mfp	"TIGR01730: RND_mfp: efflux transporter, RND family, MFP subunit"		RND Antibiotic Efflux		
RF0165	Dihydropteroate	TIGR01496_DHPS: dihydropteroate synthase		Antibiotic Target		
RF0166	ANT	Aminoglycoside Nucleotidyltransferase	Aminoglycoside Modifying Enzyme	Nucleotidyltransferase		
RF0167	Aminoglyc_resit	PF10706.4_Aminoglycoside-2''-adenylyltransferase		Adenylyltransferase		
RF0168	TE_Inactivator	Leginoella_TE_Inactivator	Tetracycline Inactivation	Antibiotic Inactivation		
RF0169	Small_Multi_Drug_Res	PF00893.14_Small Multidrug Resistance protein		Other Efflux		
RF0171	Usp	PF00582.21_Universal stress protein family		Stress Response		
RF0172	APH3''	Streptomycin phosphotransferase	Aminoglycoside Modifying Enzyme	Phosphotransferase		
RF0173	APH3'	Broad-spectrum Aminoglycoside Phosphotransferase	Aminoglycoside Modifying Enzyme	Phosphotransferase		
RF0174	ArmA_Rmt	16S rRNA methyltransferase providing aminoglycoside resistance	Aminoglycoside Resistance	rRNA Methyltransferase		
